# Version V2.4.2 edit 3981M
Chr Position Physical PPL BayesRatio MarkerList(0,1)
5 0.000000 111743 0.011 4.405598e-01 (1,2)
5 2.000000 836441 0.011 4.616298e-01 (1,2)
5 4.000000 1561141 0.011 4.596119e-01 (1,2)
5 6.000000 2285841 0.011 4.387099e-01 (1,2)
5 8.000000 3010540 0.010 4.015098e-01 (1,2)
5 10.000000 3715682 0.011 4.457401e-01 (2,3)
5 12.000000 4394774 0.011 4.592336e-01 (2,3)
5 14.000000 5073865 0.011 4.686575e-01 (2,3)
5 16.000000 5752957 0.011 4.720636e-01 (2,3)
5 18.000000 6835770 0.014 6.598674e-01 (3,4)
5 20.000000 7960618 0.016 7.421283e-01 (3,4)
5 22.000000 9085466 0.017 8.346837e-01 (3,4)
5 24.000000 9910754 0.017 7.941117e-01 (4,5)
5 26.000000 10699451 0.014 6.498081e-01 (4,5)
5 28.000000 11488149 0.013 5.707724e-01 (4,5)
5 30.000000 13133319 0.011 4.579005e-01 (5,6)
5 32.000000 14899056 0.011 4.489854e-01 (5,6)
5 34.000000 16664793 0.011 4.314578e-01 (5,6)
5 36.000000 18430529 0.010 4.097387e-01 (5,6)
5 38.000000 20196266 0.010 3.840648e-01 (5,6)
5 40.000000 21962003 0.009 3.518701e-01 (5,6)
5 42.000000 23714371 0.009 3.567116e-01 (6,7)
5 44.000000 25462454 0.009 3.659172e-01 (6,7)
5 46.000000 27179316 0.010 3.964208e-01 (7,8)
5 48.000000 28801937 0.010 4.227542e-01 (7,8)
5 50.000000 30424558 0.011 4.536896e-01 (7,8)
5 52.000000 32047179 0.011 4.888374e-01 (7,8)
5 54.000000 33854704 0.015 6.759680e-01 (8,9)
5 56.000000 35732119 0.015 6.888074e-01 (8,9)
5 58.000000 37609534 0.015 6.939359e-01 (8,9)
5 60.000000 39486949 0.015 6.907896e-01 (8,9)
5 62.000000 41717550 0.012 4.952025e-01 (9,10)
5 64.000000 45599996 0.011 4.416784e-01 (9,10)
5 66.000000 49482442 0.010 4.093326e-01 (9,10)
5 68.000000 53364888 0.010 3.984468e-01 (9,10)
5 70.000000 57247334 0.010 4.039568e-01 (9,10)
5 72.000000 59710570 0.011 4.488986e-01 (10,11)
5 74.000000 61328077 0.011 4.813354e-01 (10,11)
5 76.000000 62945584 0.012 5.088189e-01 (10,11)
5 78.000000 64563092 0.012 5.339534e-01 (10,11)
5 80.000000 66180599 0.013 5.598683e-01 (10,11)
5 82.000000 67798106 0.013 5.895623e-01 (10,11)
5 84.000000 69415614 0.014 6.254654e-01 (10,11)
5 86.000000 71033121 0.015 6.690769e-01 (10,11)
5 88.000000 72650629 0.015 7.205405e-01 (10,11)
5 90.000000 74268136 0.016 7.781201e-01 (10,11)
5 92.000000 75885643 0.017 8.376577e-01 (10,11)
5 94.000000 77503151 0.018 8.922074e-01 (10,11)
5 96.000000 79120658 0.019 9.322494e-01 (10,11)
5 98.000000 80738165 0.019 9.471574e-01 (10,11)
5 100.000000 82625706 0.019 9.470247e-01 (11,12)
5 102.000000 85481331 0.019 9.440199e-01 (11,12)
5 104.000000 88336956 0.021 1.012726e+00 (11,12)
5 106.000000 91285987 0.021 1.065775e+00 (12,13)
5 108.000000 94273263 0.022 1.100810e+00 (12,13)
5 110.000000 97260539 0.022 1.068374e+00 (12,13)
5 112.000000 100822087 0.019 9.037218e-01 (13,14)
5 114.000000 104635654 0.015 7.151838e-01 (13,14)
5 116.000000 108166387 0.016 7.254341e-01 (14,15)
5 118.000000 110454110 0.015 7.204389e-01 (15,16)
5 120.000000 112701085 0.014 6.611242e-01 (15,16)
5 122.000000 114948061 0.014 6.153191e-01 (15,16)
5 124.000000 117195036 0.013 5.875233e-01 (15,16)
5 126.000000 119442844 0.013 5.766450e-01 (16,17)
5 128.000000 121695318 0.013 5.939587e-01 (16,17)
5 130.000000 123947793 0.013 6.028746e-01 (16,17)
5 132.000000 126200267 0.014 6.146222e-01 (16,17)
5 134.000000 128452741 0.014 6.352229e-01 (16,17)
5 136.000000 130705215 0.014 6.647370e-01 (16,17)
5 138.000000 132957689 0.015 6.958250e-01 (16,17)
5 140.000000 135210163 0.015 7.119719e-01 (16,17)
5 142.000000 137187680 0.016 7.804512e-01 (17,18)
5 144.000000 139153591 0.017 7.995390e-01 (17,18)
5 146.000000 141119501 0.017 8.129077e-01 (17,18)
5 148.000000 143085412 0.017 8.290493e-01 (17,18)
5 150.000000 145051323 0.018 8.532379e-01 (17,18)
5 152.000000 147017234 0.018 8.871738e-01 (17,18)
5 154.000000 148983145 0.019 9.290310e-01 (17,18)
5 156.000000 150949055 0.020 9.733118e-01 (17,18)
5 158.000000 152914966 0.020 1.010430e+00 (17,18)
5 160.000000 154880877 0.021 1.026871e+00 (17,18)
5 162.000000 156673355 0.015 6.771499e-01 (18,19)
5 164.000000 158168621 0.015 6.914488e-01 (18,19)
5 166.000000 159663887 0.015 6.946077e-01 (18,19)
5 168.000000 161159153 0.015 6.966434e-01 (18,19)
5 170.000000 162654419 0.015 7.017184e-01 (18,19)
5 172.000000 164149685 0.015 7.078502e-01 (18,19)
5 174.000000 165644951 0.015 7.066158e-01 (18,19)
5 176.000000 167028015 0.014 6.444795e-01 (19,20)
5 178.000000 167887575 0.014 6.229215e-01 (19,20)
5 180.000000 168747135 0.013 6.075012e-01 (19,20)
