QT 
diag 0.0000 0.100 0.0100
continue 0.12 0.2 0.02
continue .25 .45 0.05 
Q-Models	-99.99 -88.88 88.88 1 30 
0.99 -3 -2 -1 0.707 0.707 0.707 1 
0.9 -3 -2 -1 0.707 0.707 0.707 1 
0.7 -3 -2 -1 0.707 0.707 0.707 1 
0.5 -3 -2 -1 0.707 0.707 0.707 1 
0.3 -3 -2 -1 0.707 0.707 0.707 1 
0.1 -3 -2 -1 0.707 0.707 0.707 1 
0.01 -3 -2 -1 0.707 0.707 0.707 1 
0.99 -3 -2 -1 1 1 1 1 
0.9 -3 -2 -1 1 1 1 1 
0.7 -3 -2 -1 1 1 1 1 
0.5 -3 -2 -1 1 1 1 1 
0.3 -3 -2 -1 1 1 1 1 
0.1 -3 -2 -1 1 1 1 1 
0.01 -3 -2 -1 1 1 1 1 
0.99 -3 -2 0 0.707 0.707 0.707 1 
0.9 -3 -2 0 0.707 0.707 0.707 1 
0.7 -3 -2 0 0.707 0.707 0.707 1 
0.5 -3 -2 0 0.707 0.707 0.707 1 
0.3 -3 -2 0 0.707 0.707 0.707 1 
0.1 -3 -2 0 0.707 0.707 0.707 1 
0.01 -3 -2 0 0.707 0.707 0.707 1 
0.99 -3 -2 0 1 1 1 1 
0.9 -3 -2 0 1 1 1 1 
0.7 -3 -2 0 1 1 1 1 
0.5 -3 -2 0 1 1 1 1 
0.3 -3 -2 0 1 1 1 1 
0.1 -3 -2 0 1 1 1 1 
0.01 -3 -2 0 1 1 1 1 
0.99 -3 -1 0 0.707 0.707 0.707 1 
0.9 -3 -1 0 0.707 0.707 0.707 1 
0.7 -3 -1 0 0.707 0.707 0.707 1 
0.5 -3 -1 0 0.707 0.707 0.707 1 
0.3 -3 -1 0 0.707 0.707 0.707 1 
0.1 -3 -1 0 0.707 0.707 0.707 1 
0.01 -3 -1 0 0.707 0.707 0.707 1 
0.99 -3 -1 0 1 1 1 1 
0.9 -3 -1 0 1 1 1 1 
0.7 -3 -1 0 1 1 1 1 
0.5 -3 -1 0 1 1 1 1 
0.3 -3 -1 0 1 1 1 1 
0.1 -3 -1 0 1 1 1 1 
0.01 -3 -1 0 1 1 1 1 
0.99 -2 -1 0 0.707 0.707 0.707 1 
0.9 -2 -1 0 0.707 0.707 0.707 1 
0.7 -2 -1 0 0.707 0.707 0.707 1 
0.5 -2 -1 0 0.707 0.707 0.707 1 
0.3 -2 -1 0 0.707 0.707 0.707 1 
0.1 -2 -1 0 0.707 0.707 0.707 1 
0.01 -2 -1 0 0.707 0.707 0.707 1 
0.99 -2 -1 0 1 1 1 1 
0.9 -2 -1 0 1 1 1 1 
0.7 -2 -1 0 1 1 1 1 
0.5 -2 -1 0 1 1 1 1 
0.3 -2 -1 0 1 1 1 1 
0.1 -2 -1 0 1 1 1 1 
0.01 -2 -1 0 1 1 1 1 
0.99 -3 -2 1 0.707 0.707 0.707 1 
0.9 -3 -2 1 0.707 0.707 0.707 1 
0.7 -3 -2 1 0.707 0.707 0.707 1 
0.5 -3 -2 1 0.707 0.707 0.707 1 
0.3 -3 -2 1 0.707 0.707 0.707 1 
0.1 -3 -2 1 0.707 0.707 0.707 1 
0.01 -3 -2 1 0.707 0.707 0.707 1 
0.99 -3 -2 1 1 1 1 1 
0.9 -3 -2 1 1 1 1 1 
0.7 -3 -2 1 1 1 1 1 
0.5 -3 -2 1 1 1 1 1 
0.3 -3 -2 1 1 1 1 1 
0.1 -3 -2 1 1 1 1 1 
0.01 -3 -2 1 1 1 1 1 
0.99 -3 -1 1 0.707 0.707 0.707 1 
0.9 -3 -1 1 0.707 0.707 0.707 1 
0.7 -3 -1 1 0.707 0.707 0.707 1 
0.5 -3 -1 1 0.707 0.707 0.707 1 
0.3 -3 -1 1 0.707 0.707 0.707 1 
0.1 -3 -1 1 0.707 0.707 0.707 1 
0.01 -3 -1 1 0.707 0.707 0.707 1 
0.99 -3 -1 1 1 1 1 1 
0.9 -3 -1 1 1 1 1 1 
0.7 -3 -1 1 1 1 1 1 
0.5 -3 -1 1 1 1 1 1 
0.3 -3 -1 1 1 1 1 1 
0.1 -3 -1 1 1 1 1 1 
0.01 -3 -1 1 1 1 1 1 
0.99 -2 -1 1 0.707 0.707 0.707 1 
0.9 -2 -1 1 0.707 0.707 0.707 1 
0.7 -2 -1 1 0.707 0.707 0.707 1 
0.5 -2 -1 1 0.707 0.707 0.707 1 
0.3 -2 -1 1 0.707 0.707 0.707 1 
0.1 -2 -1 1 0.707 0.707 0.707 1 
0.01 -2 -1 1 0.707 0.707 0.707 1 
0.99 -2 -1 1 1 1 1 1 
0.9 -2 -1 1 1 1 1 1 
0.7 -2 -1 1 1 1 1 1 
0.5 -2 -1 1 1 1 1 1 
0.3 -2 -1 1 1 1 1 1 
0.1 -2 -1 1 1 1 1 1 
0.01 -2 -1 1 1 1 1 1 
0.99 -3 0 1 0.707 0.707 0.707 1 
